project_name;files_ok;files_erros
learningequality/kolibri;48924;0
ethereum/consensus-specs;49178;0
mikedh/trimesh;49416;0
bitmessage/pybitmessage;49662;1
pre-commit/pre-commit;49779;0
paddlepaddle/paddleyolo;49937;0
nemonameless/paddledetection_yoloseries;50095;0
paddlepaddle/paddledetection;50446;1
openstack/pbr;50492;0
ansible-collections/community.aws;50701;0
nedbat/coveragepy;50856;0
python-trio/trio;51035;0
redhatinsights/insights-core;52519;1
opensuse/osc;52585;0
stripe/stripe-python;52843;0
fedora-infra/bodhi;53091;1
cherrypy/cheroot;53126;0
netflix/lemur;53448;0
pyrogram/pyrogram;53860;0
tensorflow/agents;54427;0
aiogram/aiogram;54622;0
olivierkes/manuskript;54810;0
zostera/django-bootstrap4;54849;0
dmlc/gluon-cv;55466;0
holoviz/holoviews;55792;0
gwastro/pycbc;56165;2
getting-things-gnome/gtg;56315;0
xrplf/xrpl-dev-portal;56380;0
yunohost/apps;56389;2
gnome/adwaita-icon-theme;56395;1
pennylaneai/pennylane;57045;0
mvantellingen/python-zeep;57167;0
sshuttle/sshuttle;57201;0
albumentations-team/albumentations;57256;0
ansible-collections/community.zabbix;57314;0
nuitka/nuitka;58716;73
bregman-arie/devops-exercises;58736;0
bleachbit/bleachbit;58801;0
pythonarcade/arcade;59251;0
django-helpdesk/django-helpdesk;59360;0
python-restx/flask-restx;59417;0
starkblaze01/algorithms-cheatsheet-resources;59524;0
mozilla-services/socorro;59888;0
sobotka/blender-addons;60892;1
blender/blender-addons;61896;1
cocotb/cocotb;62025;0
crossbario/autobahn-python;62440;6
commaai/comma10k;62453;0
autorope/donkeycar;62602;0
freeopcua/opcua-asyncio;62760;0
executablebooks/jupyter-book;62782;0
powerdns-admin/powerdns-admin;62872;0
oca/bank-payment;63052;0
elastic/elasticsearch-dsl-py;63122;0
mampfes/hacs_waste_collection_schedule;63262;0
googlecloudplatform/deploymentmanager-samples;63370;6
bobbyiliev/101-linux-commands-ebook;63373;0
qcodes/qcodes;63991;0
obspy/obspy;64602;0
sosy-lab/benchexec;64806;0
unitedstates/congress-legislators;64845;0
posativ/isso;64885;0
sublimelsp/lsp;64968;0
python-lsp/python-lsp-server;65037;0
pulp/pulpcore;65371;0
mozilla/kitsune;66062;0
octodns/octodns;66111;0
thehive-project/cortex-analyzers;66340;1
jupyter/jupyter_client;66401;0
python-world/python_and_the_web;66605;0
googleapis/python-bigquery;66948;0
factoryboy/factory_boy;67009;0
fonttools/fonttools;67478;0
zestedesavoir/zds-site;68013;0
qilingframework/qiling;68697;0
plotly/dash;68966;0
common-workflow-language/cwltool;69073;0
frappe/bench;69114;0
dnscrypt/dnscrypt-resolvers;69117;0
apple/coremltools;69654;5
jazzband/django-model-utils;69693;0
celery/django-celery;69766;1
disposable-email-domains/disposable-email-domains;69767;0
sqlmapproject/sqlmap;70234;0
databiosphere/toil;70485;0
pyvista/pyvista;70794;0
archlinux/archinstall;70894;10
django-wiki/django-wiki;71090;0
tqdm/tqdm;71158;0
jupyter/qtconsole;71206;0
systemd/mkosi;71240;0
tortoise/tortoise-orm;71487;0
districtdatalabs/yellowbrick;71686;0
vivien/i3blocks-contrib;71689;0
mingrammer/diagrams;71911;0
scons/scons;73620;0
vyos/vyos-1x;74028;0
revoxhere/duino-coin;74035;0
lk-geimfari/mimesis;74143;0
geopython/owslib;74291;0
codethesaurus/codethesaur.us;74318;0
ralphbean/bugwarrior;74393;0
vas3k/vas3k.club;74733;0
pypa/twine;74765;0
datadog/datadog-serverless-functions;74794;0
pdfminer/pdfminer.six;74852;0
stable-baselines-team/stable-baselines;74995;0
pytest-dev/pytest-testinfra;75047;0
zopefoundation/zope;75402;0
jupyterhub/repo2docker;75479;0
projectmesa/mesa;75521;3
kevin1024/vcrpy;75592;0
cloudevents/spec;75593;1
wger-project/wger;76046;0
wxwidgets/phoenix;77480;324
misp/pymisp;77615;0
scitools/cartopy;77760;0
redhat-openstack/packstack;77829;1
aws/aws-sdk-pandas;77954;0
awslabs/aws-data-wrangler;78079;0
angr/angr-doc;78147;0
rq/django-rq;78192;1
knausj85/knausj_talon;78390;0
ctfd/ctfd;78666;0
geopy/geopy;78757;0
minio/minio-py;78879;0
voxpupuli/puppetboard;78920;0
faif/python-patterns;78982;0
